name,category,county,country,lat,lng,Wikipedia Extract,editorial_review,why_interesting,cost,good_for,experience_collections,heritage_collections,image_url,official_website,original_name,original_county,camra_merge_status,osm_status_check,Good For,Experience Collections,Entry Cost,Notes
Assaroe Falls,Waterfall,County Donegal,Ireland,54.500944,-8.195476,"Assaroe Falls (Irish: Eas Aoidh Ruadh, English: the waterfall of Red Hugh), also known as Cathaleen’s Falls, was a waterfall on the River Erne near Ballyshannon, County Donegal, Ireland. It was named after Aodh Ruadh, who according to tradition, slipped and fell from the waterfall and drowned.",Keep,"A spectacular waterfall in Ballyshannon, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Picturesque_Donegal-_its_mountains%2C_rivers%2C_and_lakes._Being_the_Great_Northern_Railway_%28Ireland%29_Company%27s_illustrated_guide_to_the_sporting_and_touring_grounds_of_the_north_of_Ireland_%281908%29_%2814777237441%29.jpg/1280px-thumbnail.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Ess na Larach,Waterfall,County Antrim,United Kingdom,55.0169,-6.103567,"Ess na Larach is a waterfall in Glenariff Forest Park, County Antrim, Northern Ireland. It lies along Glenariff River.",Keep,"A spectacular waterfall in Glenariff Forest Park, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/6/6f/Antrim_Hills_waterfall.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Glenmacnass Waterfall,Waterfall,County Wicklow,Ireland,53.064223,-6.33688,"Glenmacnass Waterfall (Irish: Gleann Log an Easa, meaning 'The glen of the hollow of the waterfall') is an 80-metre high waterfall situated at the head of the Glenmacnass Valley in the Wicklow Mountains in Ireland.  The Glenmacnass Waterfall is a popular tourist destination and scenic viewpoint area in the Wicklow Mountains.",Keep,"A spectacular waterfall in Wicklow Mountains, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/6/66/Glenmacnass_Waterfall_-_geograph.org.uk_-_627307.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Kilfane,Waterfall,County Kilkenny,Ireland,52.556828,-7.14287,"Kilfane (Irish: Cill Pháin) is a combination of two townlands located outside of Thomastown in County Kilkenny, Ireland. It is made up of the townlands of Kilfane East and West with a total area of 75 acres (0.30 km2).",Keep,A striking natural landscape in County Kilkenny with a real wow factor.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Kilfarne_Church_Thomastown_Co_Kilkenny_20141.JPG/1280px-Kilfarne_Church_Thomastown_Co_Kilkenny_20141.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Mullinhassig Wood,Waterfall,County Cork,Ireland,51.927328,-8.829256,"Mullinhassig Wood is a Coillte-owned property, straddling the townlands of Aghavrin and Shanavagha, 4 km (2.5 mi) north-west of Coachford village in County Cork, Ireland. Poulanassig Waterfall is located within the wood, 0.75 km (0.47 mi) west of the entrance, and can be viewed from the water's edge, or from a path above.",Keep,A wooded spot with a hidden waterfall tucked away inside.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mullinhassig_Wood.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.coillte.ie/,,,,,"walkers and hikers, photographers, family",great views,Free,
Powerscourt Waterfall,Waterfall,County Wicklow,Ireland,53.146,-6.211,"Powerscourt Waterfall (Irish: Eas Chonaill) is the second highest waterfall in Ireland at 121 metres (397 ft) high, it is located at the base of Glensoulan on the River Dargle near Enniskerry, County Wicklow. 
Powerscourt is overlooked by the peaks of Djouce (725 metres (2,379 ft)) and Maulin (570 metres (1,870 ft)), and flows continuously all year in a horsetail-fan pattern.",Keep,"Ireland's second-highest waterfall, tumbling through the grounds of a grand estate.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Powerscourt_Waterfall%2C_Wicklow_-_panoramio_%284%29.jpg/1280px-Powerscourt_Waterfall%2C_Wicklow_-_panoramio_%284%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
River Mahon,River,County Waterford,Ireland,52.133333,-7.366667,"The River Mahon (Irish: an Mhachain) rises in the Comeragh Mountains and enters the sea at Bunmahon in County Waterford, Ireland.",Keep,A river that rises in the Comeragh Mountains and reaches the sea at Bunmahon in County Waterford.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/5/55/Mahonfalls.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, couples",,Free,
Toormakeady,Waterfall,County Mayo,Ireland,53.656346,-9.365735,"Toormakeady or Tourmakeady (Irish: Tuar Mhic Éadaigh, the official name) is a Gaeltacht in south County Mayo in the west of Ireland. It is located between the shores of Lough Mask and the Partry Mountains, and covers 172.26 square kilometres (66.51 sq mi).",Keep,A scenic Gaeltacht between Lough Mask and the Partry Mountains.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/4/4d/Waterfall_at_Toormakeady.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Torc Waterfall,Waterfall,County Kerry,Ireland,52.005024,-9.506647,"Torc Waterfall (from Irish Easach Toirc, meaning 'cascade of the wild boar') is a 20 metres (66 ft) high, 110 metres (360 ft) long cascade waterfall formed by the Owengarriff River as it drains from the Devil's Punchbowl corrie lake at Mangerton Mountain.  The waterfall, which lies at the base of Torc Mountain, in the Killarney National Park, is 4.3 miles (7 kilometres) from Killarney in County Kerry, Ireland.",Keep,"A striking waterfall in Killarney National Park, an easy walk from the main road.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Torc_waterfall_2025_08_31.jpg/1280px-Torc_waterfall_2025_08_31.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Glendalough,Lake,County Wicklow,Ireland,53.010278,-6.3275,"Glendalough (; Irish: Gleann Dá Loch, meaning 'valley of two lakes') is a glacial valley in County Wicklow, Ireland, renowned for an Early Medieval monastic settlement founded in the 6th century by St Kevin. From 1825 to 1957, the head of the Glendalough Valley was the site of a galena lead mine.",Keep,"A glacial valley with two lakes and an early monastic settlement, one of Ireland's most beautiful sites.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",Medieval Britain,https://upload.wikimedia.org/wikipedia/commons/3/31/ST_KEVIN%27S_CHURCH%2C_GLENDALOUGH.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, family, couples",great views,Free,
Cairngorms National Park,Nature Reserve,,United Kingdom,57.083333,-3.666667,"Cairngorms National Park (Scottish Gaelic: Pàirc Nàiseanta a' Mhonaidh Ruaidh) is a national park in northeast Scotland, established in 2003. It was the second of two national parks established by the Scottish Parliament, after Loch Lomond and The Trossachs National Park, which was set up in 2002.",Keep,"Britain's largest national park, home to ancient forest, arctic tundra, and ospreys.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/f/fd/Cairngorms_snowfield_-_geograph.org.uk_-_686803.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, family",,Free,
Loch Lomond and The Trossachs National Park,Nature Reserve,,United Kingdom,56.25,-4.616667,"Loch Lomond and The Trossachs National Park (Scottish Gaelic: Pàirc Nàiseanta Loch Laomainn is nan Tròisichean) is a national park in Scotland centred on Loch Lomond and the hills and glens of the Trossachs, along with several other ranges of hills. It was the first of the two national parks established by the Scottish Parliament in 2002, the second being the Cairngorms National Park.",Keep,"Scotland's first national park, centred on its largest loch and forested hills.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/f/f2/Loch_Arklet_boathouse_-_geograph.org.uk_-_3941132.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, family",,Free,
Bempton Cliffs,Cliffs,East Riding of Yorkshire,United Kingdom,54.146111,-0.160278,"Bempton Cliffs is a section of precipitous coast at Bempton in the East Riding of Yorkshire, England. It is run by the Royal Society for the Protection of Birds (RSPB) as a nature reserve and is known for its breeding seabirds, including northern gannet, Atlantic puffin, razorbill, common guillemot, black-legged kittiwake and fulmar.",Keep,"Dramatic chalk cliffs alive with hundreds of thousands of nesting seabirds, including puffins.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Bempton_Cliffs_Stack_From_New_Roll_Up_Viewing_Platform.jpg/1280px-Bempton_Cliffs_Stack_From_New_Roll_Up_Viewing_Platform.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.rspb.org.uk/reserves-and-events/find-a-reserve/reserves-a-z/reserves-by-name/b/bemptoncliffs/index.aspx,,,,,"walkers and hikers, photographers, couples",great views,Free,
Bridgwater Bay,Beach,Somerset,United Kingdom,51.25,-3.2,"Bridgwater Bay is on the Bristol Channel, 5 kilometres (3.1 mi) north of Bridgwater in Somerset, England at the mouth of the River Parrett and the end of the River Parrett Trail. It stretches from Minehead at the southwestern end of the bay to Brean Down in the north.",Keep,"A beautiful coastal spot in Somerset, made for a memorable day out.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,,,,,,,"family, couples, walkers and hikers, photographers, day trip",,Free,
Fairburn Ings RSPB reserve,Nature Reserve,West Yorkshire,United Kingdom,53.7407,-1.32165,"Fairburn Ings Nature Reserve is a protected area in West Yorkshire, England, noted for its avian biodiversity.
The reserve has recorded around 280 bird species, remarkable for an inland site in the United Kingdom.",Keep,A striking natural landscape in West Yorkshire with a real wow factor.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/7/7d/Fairburn_Ings.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",,Free,
Foulney Island,Beach,Cumbria,United Kingdom,54.066689,-3.151488,"Foulney Island is a low-lying grass and shingle area 1 mile (1.6 km) to the south-east of Roa Island, off the southern tip of the Furness Peninsula in Cumbria, England. Foulney Island is one of the Islands of Furness in Morecambe Bay, northern England.",Keep,"A beautiful coastal spot in Cumbria, made for a memorable day out.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/a/ac/Shoreline_of_Foulney_Island_%28left%29_at_high_spring_tide_-_geograph.org.uk_-_3316250.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"family, couples, walkers and hikers, photographers, day trip",,Free,
Aldbury Nowers,Nature Reserve,Hertfordshire,United Kingdom,51.811569,-0.618893,"Aldbury Nowers is a 19.7 hectares (49 acres) biological Site of Special Scientific Interest (SSSI) in the Chiltern Hills, north-east of Tring in Hertfordshire. The site was notified in 1990 under the Wildlife and Countryside Act 1981.",Review,A striking natural landscape in Hertfordshire with a real wow factor.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/d/de/Aldbury_Nowers.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",,Free,
Brownsea Island,Island,Dorset,United Kingdom,50.691667,-1.972222,"Brownsea Island is the largest of the islands in Poole Harbour, in the county of Dorset, England. The island is owned by the National Trust, with the northern half managed by the Dorset Wildlife Trust.",Keep,"A National Trust island sanctuary for red squirrels, reached by boat across Poole Harbour.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",National Trust,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/BrownSeaIsland.jpg/1280px-BrownSeaIsland.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/brownsea-island,,,,,"walkers and hikers, photographers, solo travelling",great views,Free,
Cassiobury Park,Nature Reserve,Essex,United Kingdom,51.659722,-0.416667,"Cassiobury Park is the principal public park in Watford, Hertfordshire, in England. It was created in 1909 from the purchase by Watford Borough Council of part of the estate of the Earls of Essex around Cassiobury House which was subsequently demolished in 1927.",Keep,A striking natural landscape in England with a real wow factor.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Entrance_to_Cassiobury_Park_from_Shepherds_Road_-_geograph.org.uk_-_8291661.jpg/1280px-Entrance_to_Cassiobury_Park_from_Shepherds_Road_-_geograph.org.uk_-_8291661.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",,Free,
Ant Broads & Marshes National Nature Reserve,Nature Reserve,Norfolk,United Kingdom,52.73864,1.49604,"Ant Broads & Marshes NNR is a national nature reserve in Norfolk, England established by English Nature. It is named after the River Ant.",Keep,"A scenic river in Norfolk, shaped by some lovely countryside.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/5/5c/Norfolk_Broads_-_panoramio_%2818%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, family",,Free,
Arne RSPB reserve,Nature Reserve,Dorset,United Kingdom,50.683,-2.04,"Arne RSPB reserve is a 5.634-square-kilometre (1,392-acre) nature reserve and Site of Special Scientific Interest (SSSI) maintained by the RSPB and located in Dorset. It was notified as an SSSI in 1986 and the estuarine reedbeds within the site are designated as a national nature reserve.",Keep,"A lowland heath reserve on Poole Harbour, one of the best places in Britain to see rare Dartford warblers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/2/22/Viewpoint_on_the_RSPB_Arne_reserve_-_geograph.org.uk_-_1445832.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/arne/,,,,,"walkers and hikers, photographers, family",,Free,
Aston Rowant National Nature Reserve,Nature Reserve,Oxfordshire,United Kingdom,51.665,-0.95,"Aston Rowant National Nature Reserve is located on the north-west escarpment of the Chiltern Hills, in the Chilterns Area of Outstanding Natural Beauty. It has an area of 159.1 hectares (393 acres), and most of it is a 128.5 hectares (318 acres) biological Site of Special Scientific Interest.",Keep,A striking natural landscape in north-west escarpment of the Chiltern Hills with a real wow factor.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Aston_Rowant_NNR_view_over_Oxford_Clay_plain.JPG/1280px-Aston_Rowant_NNR_view_over_Oxford_Clay_plain.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",,Free,
Ballard Down,Beach,Dorset,United Kingdom,50.63049,-1.96601,"Ballard Down is an area of chalk downland on the Purbeck Hills in the English county of Dorset. The hills meet the English Channel here, and Ballard Down forms a headland, Ballard Point, between Studland Bay to the north and Swanage Bay to the south.",Keep,"A beautiful coastal spot in English county of Dorset, made for a memorable day out.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/b/b6/Studland%2C_the_post_office_and_stores_-_geograph.org.uk_-_1365131.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.isleofpurbeck.com/studland.html,,,,,"family, couples, walkers and hikers, photographers, day trip",,Free,
Bassenthwaite Lake,Lake,Cumbria,United Kingdom,54.65,-3.216667,"Bassenthwaite Lake is a body of water in the Lake District in North West England, near the town of Keswick. It has an area of 5.3 km2 (2.0 sq mi), making the fourth largest of the lakes in the region.",Keep,"The only body of water in the Lake District still officially called a 'lake', home to breeding ospreys.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/7/76/Bassenthwaite_Lake.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family, couples",great views,Free,
Benacre National Nature Reserve,Nature Reserve,Suffolk,United Kingdom,52.372,1.702,"Benacre National Nature Reserve is a national nature reserve in the English county of Suffolk. It is located on the North Sea coast in the parishes of Benacre, Covehithe, Reydon and South Cove.",Keep,"A beautiful coastal spot in parishes of Benacre, made for a memorable day out.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/1/11/Benacre_Broad_and_bird_watchers_hut_-_geograph.org.uk_-_1241218.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",,Free,
Bure Marshes National Nature Reserve,River,Norfolk,United Kingdom,52.693318,1.459821,"Bure Marshes National Nature Reserve is a national nature reserve (NNR) in Norfolk, England. Created in 1958, the reserve covers 451.5 hectares of wetland within the floodplain of the River Bure.",Keep,"A beautiful coastal spot in Norfolk, made for a memorable day out.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bure_Marshes_-_geograph.org.uk_-_5479706.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, couples",,Free,
Burnham Beeches,Nature Reserve,Buckinghamshire,United Kingdom,51.562629,-0.63018,"Burnham Beeches is a 374.6-hectare (926-acre) biological Site of Special Scientific Interest situated west of Farnham Common in the village of Burnham, Buckinghamshire. The southern half is owned by the Corporation of London and is open to the public.",Keep,"Ancient pollarded beech woodland on London's doorstep, some trees over 400 years old.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",National Trust,https://upload.wikimedia.org/wikipedia/commons/a/a9/Middle_Pond_-_geograph.org.uk_-_600952.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",,Free,
Calthorpe Broad,Nature Reserve,Norfolk,United Kingdom,52.777,1.573,"Calthorpe Broad is a 43.5-hectare (107-acre) biological Site of Special Scientific Interest east of Stalham in Norfolk, England. It is a Nature Conservation Review site, Grade I and a national nature reserve.",Review,A scenic viewpoint with sweeping Norfolk views.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/d/d8/View_to_Calthorpe_Broad_-_geograph.org.uk_-_578841.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",,Free,
Hambledon Hill,River,Dorset,United Kingdom,50.9125,-2.221944,"Hambledon Hill is a prehistoric hill fort in Dorset, England, in the Blackmore Vale five miles northwest of Blandford Forum. The hill itself is a chalk outcrop, on the southwestern corner of Cranborne Chase, separated from the Dorset Downs by the River Stour.",Keep,A dramatic Iron Age hillfort with sweeping views across the Dorset countryside.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",National Trust,https://upload.wikimedia.org/wikipedia/commons/2/27/The_north-west_slopes_of_Hambledon_Hill_-_geograph.org.uk_-_6073347.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, couples",,Free,
