name,category,county,country,why_interesting,lat,lng,image_url,source_url,geocode_source,geocode_status,image_source,image_status
Saint Nicholas Church,Church,Grand-Place / Îlot Sacré,Belgium,"A church has stood here since the 12th century; the present building survived repeated rebuilding, including after the devastating 1695 bombardment.",51.053979,3.722886,https://upload.wikimedia.org/wikipedia/commons/c/ce/2024-08-21_in_Brussels_23.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched,wikipedia_search,found
Manneken Pis,Monument,Grand-Place / Îlot Sacré,Belgium,The famous bronze fountain statue was made in 1619 by Jérôme Duquesnoy the Elder and now has a wardrobe of hundreds of costumes.,50.844986,4.349993,https://upload.wikimedia.org/wikipedia/commons/c/c4/Bruxelles_Manneken_Pis_cropped.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/what-to-do/manneken-pis-brussels-most-famous-son,nominatim,matched,wikipedia_search,found
A la Mort Subite,Historic Pub,Grand-Place / Îlot Sacré,Belgium,Its curious name dates to around 1910 under Théophile Vossen; the wonderfully preserved café interior largely dates from 1928.,50.848624,4.356268,https://upload.wikimedia.org/wikipedia/commons/0/04/1_-_Cafe-brasserie_A_la_Mort_Subite_-_WARMOESBERG_5_-_7.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.A-la-Mort-Subite.243996,nominatim,matched,wikipedia_search,found
Au Bon Vieux Temps,Historic Pub,Grand-Place / Îlot Sacré,Belgium,"Hidden down an old alley beside Saint Nicholas Church, this intimate heritage tavern is prized for its vaulted interior and stained glass.",50.848334,4.352382,https://upload.wikimedia.org/wikipedia/commons/f/fe/Au_Bon_Vieux_Temps%2C_Impasse_Saint-Nicolas_4%2C_Bruxelles%2C_%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/what-to-do/time-travel-in-brussels-bars,nominatim,matched,commons_geosearch,found
Brussels Stock Exchange (Bourse),Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,"Inaugurated in 1873, this monumental exchange was designed by Léon-Pierre Suys and Jules Brunfaut and now houses Belgian Beer World.",50.847942,4.350434,https://upload.wikimedia.org/wikipedia/commons/5/57/Plafond_central_%C3%A0_l%27int%C3%A9rieur_du_palais_de_la_bourse_de_Bruxelles.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched,commons_geosearch,found
Bruxella 1238,Archaeological Site,Bourse / Saint-Géry / Dansaert,Belgium,"Archaeological remains beneath the city centre preserve a Franciscan convent founded in 1238, revealing medieval Brussels below today’s streets.",50.848257,4.350451,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Bruxella_1238_10.jpg/1920px-Bruxella_1238_10.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched,wikipedia_search,found
Café Le Cirio,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"Open since 1886, this richly preserved café retains Belle Époque and Art Nouveau details from Brussels’ great age of grand brasseries.",50.848307,4.350719,https://upload.wikimedia.org/wikipedia/commons/d/d1/National_cash_register%2C_Le_Cirio%2C_Brussels%2C_2014.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/venue-details.Cafe-le-Cirio.50000049,nominatim,matched,commons_geosearch,found
Le Falstaff,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"Created in 1903, its exuberant Art Nouveau interior was decorated by Émile Houbion, a collaborator of Victor Horta.",50.8477,4.3498,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Taverne-restaurant_le_Falstaff_02.JPG/3840px-Taverne-restaurant_le_Falstaff_02.JPG?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.admirable-artnouveau.brussels/en-facades/falstaff-tavern/,,no_match,wikipedia_search_fr,found
Brasserie Greenwich,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"A listed Belle Époque tavern from the early 20th century, remembered as a chess haunt of surrealist René Magritte and Paul Nougé.",50.848931,4.347177,https://upload.wikimedia.org/wikipedia/commons/3/33/Greenwich_Rue_Des_Chartreux_7_Rue_Des_Chartreux_5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/venue-details.Brasserie-Greenwich.280703,nominatim,matched,commons_geosearch,found
Halles Saint-Géry,Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,"Built in 1881 as an indoor market hall on the traditional birthplace of Brussels, it now hosts exhibitions, events and nightlife.",50.847966,4.347256,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/2009-05-10_in_Brussels_15.jpg/3840px-2009-05-10_in_Brussels_15.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/venue-details.Marche-Saint-Gery.50005458,nominatim,matched,wikipedia_search,found
L’Archiduc,Historic Bar,Bourse / Saint-Géry / Dansaert,Belgium,Opened in 1937 and turned into a jazz club by Stan Brenders in 1953; Miles Davis and Nat King Cole are among its legendary associations.,50.849067,4.347503,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/L%27archiduc.jpg/3840px-L%27archiduc.jpg?utm_source=nl.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/venue-details.L-Archiduc.9279,nominatim,matched,wikipedia_search_nl,found
Anneessens Tower,Monument,Bourse / Saint-Géry / Dansaert,Belgium,"One of the best-preserved remnants of Brussels’ first defensive wall, built in the early 13th century around the medieval city.",50.842385,4.352918,https://upload.wikimedia.org/wikipedia/commons/3/36/Tour_Anneessens_05.JPG?utm_source=nl.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched,wikipedia_search_nl,found
Villers Tower and First City Wall,Monument,Bourse / Saint-Géry / Dansaert,Belgium,"These surviving towers and wall fragments date from Brussels’ first fortifications, erected in the early 13th century.",50.84351,4.35093,https://upload.wikimedia.org/wikipedia/commons/a/a2/Tour_de_Villers_with_art_installation_%22Impasse%22_by_Juliane_Lavis_and_Bernard_Declercq_in_Brussels_%28DSCF4346%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,,no_match,commons_geosearch,found
La Monnaie / De Munt,Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,The present opera house opened in 1819; an 1830 performance of Auber’s La Muette de Portici helped ignite the Belgian Revolution.,50.850288,4.353953,https://upload.wikimedia.org/wikipedia/commons/e/e8/Brussel-BXLove_Muntpunt_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.lamonnaiedemunt.be/en/static-pages/505-the-opera-house,nominatim,matched,commons_geosearch,found
Martyrs’ Square,Square,Bourse / Saint-Géry / Dansaert,Belgium,Laid out in 1774 by Claude Fisco; its crypt honours 466 people killed during the Belgian Revolution of 1830.,50.836508,4.32401,https://upload.wikimedia.org/wikipedia/commons/f/f1/Martelaarsplein_-_Bruxelles%2C_Belgium_-_October_31%2C_2010_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.Crypte-de-la-Place-des-Martyrs-Cimetiere-des-Combattants-1830.263122,nominatim,matched,wikipedia_search,found
Black Tower,Monument,Sainte-Catherine / Béguinage,Belgium,"This sturdy 13th-century tower is a rare survivor of Brussels’ first city wall, now dramatically enclosed by later urban development.",50.850799,4.349817,https://upload.wikimedia.org/wikipedia/commons/a/a6/Tour_Noir.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/professionals/venue-details.Tour-Noire.252075,nominatim,matched,wikipedia_search,found
Saint Catherine Church,Church,Sainte-Catherine / Béguinage,Belgium,"Built from 1854 to 1874 on the former harbour basin, this striking church marks the transformation of Brussels’ old port district.",50.644521,5.577138,https://upload.wikimedia.org/wikipedia/commons/c/cc/Brussel_Sint-Katelijnekerk.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.Old-Port-fish-market.1613,nominatim,matched,wikipedia_search,found
Church of Saint John the Baptist at the Béguinage,Church,Sainte-Catherine / Béguinage,Belgium,"The present 17th-century Baroque church replaced an earlier Gothic church serving a beguinage that once contained more than 1,000 houses.",50.8527,4.3505,https://upload.wikimedia.org/wikipedia/commons/e/e1/Church_Saint-Jean-Baptiste_au_Beguinage%2C_main_gate_detail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/venue-details.The-Church-of-Saint-John-the-Baptist-at-the-Beguinage.275596,,no_match,commons_geosearch,found
Grand Hospice,Historic Building,Sainte-Catherine / Béguinage,Belgium,"Built in 1824-1827 to plans by Henri Partoes, this vast neoclassical hospice once cared for Brussels’ sick and elderly.",50.854071,4.350231,https://upload.wikimedia.org/wikipedia/commons/5/52/Groot_Godshuis_of_Pacheco_Tehuis.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-5,nominatim,matched,wikipedia_search_fr,found
Maison de la Bellone,Historic Building,Sainte-Catherine / Béguinage,Belgium,"Its spectacular Baroque courtyard façade was carved in 1697 by Jean Cosyn, architect-sculptor also involved in rebuilding the Grand-Place.",50.851389,4.346111,https://upload.wikimedia.org/wikipedia/commons/c/c8/Maison_de_style_Louis_XV_Rue_De_Flandre_8.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/what-to-do/hidden-treasures-in-the-streets-of-brussels,,no_match,commons_geosearch,found
In ’t Spinnekopke,Historic Pub,Sainte-Catherine / Béguinage,Belgium,"Set in an 18th-century house reputedly used as a stagecoach stop, this old estaminet specialises in Belgian beer and traditional dishes.",50.848382,4.343549,,https://www.visit.brussels/en/visitors/where-to-eat/beers-in-brussel-must-see-bars-and-restaurants,nominatim,matched,,needs_review
Grand Sablon,Square,Sablon / Marolles,Belgium,"A medieval sandy market space transformed into an aristocratic quarter, today framed by the 15th-century Sablon church and historic mansions.",50.840864,4.355063,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Br%C3%BCssel%2C_Kirche_Notre-Dame_du_Sablon.jpg/3840px-Br%C3%BCssel%2C_Kirche_Notre-Dame_du_Sablon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/the-sablon-and-marolles-districts-antiques-and-tradition,nominatim,matched,wikipedia_search,found
Petit Sablon,Square,Sablon / Marolles,Belgium,"Inaugurated in 1890, Henri Beyaert’s neo-Renaissance garden features statues of the Counts of Egmont and Hornes and 48 historic Brussels guilds.",50.839458,4.355617,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Br%C3%BCssel%2C_Kirche_Notre-Dame_du_Sablon.jpg/3840px-Br%C3%BCssel%2C_Kirche_Notre-Dame_du_Sablon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/professionals/venue-details.Plaza-del-Petit-Sablon.260227,nominatim,matched,wikipedia_search,found
Church of Our Lady of Victories at the Sablon,Church,Sablon / Marolles,Belgium,This magnificent 15th-century Gothic church grew from the crossbow guild’s chapel and is closely linked to Brussels’ historic Ommegang procession.,50.840342,4.356211,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Ko%C5%9Bci%C3%B3%C5%82_Notre-Dame_du_Sablon_w_Brukseli.jpg/3840px-Ko%C5%9Bci%C3%B3%C5%82_Notre-Dame_du_Sablon_w_Brukseli.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/the-sablon-and-marolles-districts-antiques-and-tradition,wikipedia_search,matched,wikipedia_search,found
Egmont Palace,Palace,Sablon / Marolles,Belgium,"Built in stages from the 16th century for the Counts of Egmont and later the Arenberg family, it now hosts Belgian diplomatic receptions.",50.838829,4.356956,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Palais_d%27Egmont_-_cour_d%27entr%C3%A9e_-_panoramio.jpg/3840px-Palais_d%27Egmont_-_cour_d%27entr%C3%A9e_-_panoramio.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/the-renaissance-in-brussels,nominatim,matched,wikipedia_search,found
Egmont Park,Historic Park,Sablon / Marolles,Belgium,"In the 16th century the park and palace belonged to Princess Françoise de Luxembourg, widow of Count Jean d’Egmont.",50.837702,4.356405,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Egmont_National_Park%2C_December_2015%2C_New_Zealand_%2842%29.JPG/3840px-Egmont_National_Park%2C_December_2015%2C_New_Zealand_%2842%29.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/venue-details.Egmont-Park.260185,nominatim,matched,wikipedia_search,found
Palace of Justice,Historic Building,Sablon / Marolles,Belgium,Joseph Poelaert’s colossal courthouse was built from 1866 to 1883 under Leopold II and remains one of Brussels’ most imposing landmarks.,50.836658,4.351605,https://upload.wikimedia.org/wikipedia/commons/5/57/Palais_de_Justice_from_Hilton.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/professionals/venue-details.Brussels-Palace-of-Justice.232780,nominatim,matched,wikipedia_search,found
Poelaert Square,Square,Sablon / Marolles,Belgium,"Created beside Joseph Poelaert’s 19th-century Palace of Justice, the square now offers one of the city’s broadest panoramic viewpoints.",50.83778,4.35278,https://upload.wikimedia.org/wikipedia/commons/3/36/Place_Poelaert_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/what-to-do/the-best-views-in-brussels,,no_match,commons_geosearch,found
Place du Jeu de Balle,Square,Sablon / Marolles,Belgium,Brussels’ famous flea market has traded here since 1873; Hergé later immortalised it in Tintin’s The Secret of the Unicorn.,50.837004,4.345841,https://upload.wikimedia.org/wikipedia/commons/3/34/Jeu_de_Balle_Bxl_01.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.Flea-market-on-the-Jeu-de-Balle-Square.270993,nominatim,matched,wikipedia_search,found
Church of Our Lady of the Chapel,Church,Sablon / Marolles,Belgium,"With origins in the 12th century, this Gothic church is where Pieter Bruegel the Elder married and was buried in 1569.",50.841667,4.351111,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Onze-Lieve-Vrouw-ter-Kapellekerk_Brussel_30-4-2017_08-20-19.JPG/3840px-Onze-Lieve-Vrouw-ter-Kapellekerk_Brussel_30-4-2017_08-20-19.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/the-renaissance-in-brussels,wikipedia_search,matched,wikipedia_search,found
Church of Saints John and Stephen of the Minimes,Church,Sablon / Marolles,Belgium,Built for the Minim friars in the early 18th century; Renaissance anatomist Andreas Vesalius is traditionally associated with the neighbouring street.,50.8391,4.3528,https://upload.wikimedia.org/wikipedia/commons/1/16/%C3%89glise_Saints_Jean_et_%C3%89tienne_aux_Minimes.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/plan-your-trip/historical-stroll-in-the-footsteps-of-charles-v-in-brussels,,no_match,commons_geosearch,found
Brigittines Chapel,Church,Sablon / Marolles,Belgium,This 1663 Baroque convent chapel now stands beside Andrea Bruno’s contemporary extension and serves as a distinctive performing-arts venue.,50.841161,4.348653,https://upload.wikimedia.org/wikipedia/commons/1/10/Bruxelles-Chapelle_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/what-to-do/brussels-churches/reassignments,nominatim,matched,commons_geosearch,found
Halle Gate,Monument,Sablon / Marolles,Belgium,"A surviving 14th-century gate of Brussels’ second city wall, dramatically recast in neo-Gothic style by architect Henri Beyaert in the 19th century.",50.83281,4.343158,https://upload.wikimedia.org/wikipedia/commons/8/80/Bruxelles_Porte_de_Hal_5.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.Halle-Gate-RMAH.203657,nominatim,matched,wikipedia_search,found
Jewish Museum of Belgium,Museum,Sablon / Marolles,Belgium,"Established in 1990, the museum explores Jewish history, religion and culture in Belgium through objects, testimony and changing exhibitions.",50.840833,4.353333,https://upload.wikimedia.org/wikipedia/commons/0/06/Bruxelles_rue_des_Minimes_21.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.Jewish-Museum-of-Belgium.209899,wikipedia_search,matched,wikipedia_search,found
La Fleur en Papier Doré,Historic Pub,Sablon / Marolles,Belgium,"This listed 17th-century tavern became a favourite meeting place of René Magritte, Marcel Mariën, Louis Scutenaire and CoBrA artists.",50.842825,4.350779,https://upload.wikimedia.org/wikipedia/commons/d/d2/Bruxelles_rue_des_Alexiens_55_901.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/plan-your-trip/a-legendary-stay-for-history-buffs/day-2-splendours-of-brussels,nominatim,matched,wikipedia_search_fr,found
Royal Palace of Brussels,Palace,Royal Quarter / Mont des Arts,Belgium,The present palace began taking shape in the 1820s; Leopold II gave its monumental façade its current appearance in the early 1900s.,50.886298,4.359966,,https://www.visit.brussels/en/place/Palais-Royal,nominatim,matched,,coord_mismatch
Place Royale,Square,Royal Quarter / Mont des Arts,Belgium,This harmonious late-18th-century neoclassical square replaced part of the ruined Coudenberg palace complex and centres on Godfrey of Bouillon’s 1848 statue.,50.842737,4.359886,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Brussels%2C_straatzicht_Place_Royale_met_%C3%A9glise_Saint-Jacques-sur-Coudenberg_oeg2043-01020_en_standbeeld_van_Godefroid_de_Bouillon_foto3_2015-06-07_13.53.jpg/3840px-Brussels%2C_straatzicht_Place_Royale_met_%C3%A9glise_Saint-Jacques-sur-Coudenberg_oeg2043-01020_en_standbeeld_van_Godefroid_de_Bouillon_foto3_2015-06-07_13.53.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-3,nominatim,matched,wikipedia_search,found
Church of Saint James on Coudenberg,Church,Royal Quarter / Mont des Arts,Belgium,"Begun in 1776 as part of Place Royale’s neoclassical ensemble, this temple-like church dominates Brussels’ historic seat of royal power.",50.84187,4.36023,https://upload.wikimedia.org/wikipedia/commons/4/4c/Eglise_Saint_Jacques_Sur_Coudenberg_Ii_%28224358731%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-3,,no_match,commons_geosearch,found
Coudenberg Palace Archaeological Site,Archaeological Site,Royal Quarter / Mont des Arts,Belgium,"The buried remains reveal the palace where Charles V assumed power in 1515 and abdicated in 1555, before fire destroyed it in 1731.",50.8429,4.35976,,https://coudenberg.brussels/en/history/history-and-archaeology,,no_match,,needs_review
BELvue Museum,Museum,Royal Quarter / Mont des Arts,Belgium,"Housed in the former Hôtel Bellevue, built in 1776 beside the Royal Palace, this museum traces Belgium’s history and national identity.",50.84261,4.360689,https://upload.wikimedia.org/wikipedia/commons/3/3f/H%C3%B4tel_Bellevue.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.BELvue-museum.262801,nominatim,matched,wikipedia_search,found
Royal Museums of Fine Arts of Belgium,Museum,Royal Quarter / Mont des Arts,Belgium,"Founded in 1801, Belgium’s national fine-arts collection spans Bruegel, Rubens and later masters across six interconnected museums.",50.84168,4.358238,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Mus%C3%A9es_Royaux_des_Beaux-Arts_Belgique_1101.jpg/3840px-Mus%C3%A9es_Royaux_des_Beaux-Arts_Belgique_1101.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/venue-details.488,nominatim,matched,wikipedia_search,found
Magritte Museum,Museum,Royal Quarter / Mont des Arts,Belgium,"Opened in 2009, it houses the world’s largest collection devoted to Belgian surrealist René Magritte, with around 230 works and archives.",50.842418,4.358796,https://upload.wikimedia.org/wikipedia/commons/d/dc/Belgique_-_Bruxelles_-_H%C3%B4tel_du_Lotto_-_02.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,nominatim,matched,wikipedia_search,found
Musical Instruments Museum (Old England),Museum,Royal Quarter / Mont des Arts,Belgium,The museum’s collection dates to 1877; since 2000 it has filled Paul Saintenoy’s spectacular 1899 Old England Art Nouveau department store.,50.84284,4.35909,https://upload.wikimedia.org/wikipedia/commons/6/6b/Harpsichord_by_loannes_Couchet_at_the_Musical_Instruments_Museum%2C_Brussels.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/visitors/venue-details.Musical-Instruments-Museum-MIM.262853,,no_match,commons_geosearch,found
