name,category,county,country,why_interesting,lat,lng,image_url,Source URL,geocode_source,geocode_status
Manneken Pis,Monument,Grand-Place / Îlot Sacré,Belgium,The famous bronze fountain statue was made in 1619 by Jérôme Duquesnoy the Elder and now has a wardrobe of hundreds of costumes.,50.844986,4.349993,,https://www.visit.brussels/en/visitors/what-to-do/manneken-pis-brussels-most-famous-son,nominatim,matched
A la Mort Subite,Historic Pub,Grand-Place / Îlot Sacré,Belgium,Its curious name dates to around 1910 under Théophile Vossen; the wonderfully preserved café interior largely dates from 1928.,50.848624,4.356268,,https://www.visit.brussels/en/visitors/venue-details.A-la-Mort-Subite.243996,nominatim,matched
Au Bon Vieux Temps,Historic Pub,Grand-Place / Îlot Sacré,Belgium,"Hidden down an old alley beside Saint Nicholas Church, this intimate heritage tavern is prized for its vaulted interior and stained glass.",50.848334,4.352382,,https://www.visit.brussels/en/visitors/what-to-do/time-travel-in-brussels-bars,nominatim,matched
Brussels Stock Exchange (Bourse),Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,"Inaugurated in 1873, this monumental exchange was designed by Léon-Pierre Suys and Jules Brunfaut and now houses Belgian Beer World.",50.847942,4.350434,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched
Bruxella 1238,Archaeological Site,Bourse / Saint-Géry / Dansaert,Belgium,"Archaeological remains beneath the city centre preserve a Franciscan convent founded in 1238, revealing medieval Brussels below today’s streets.",50.848257,4.350451,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched
Café Le Cirio,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"Open since 1886, this richly preserved café retains Belle Époque and Art Nouveau details from Brussels’ great age of grand brasseries.",50.848307,4.350719,,https://www.visit.brussels/en/visitors/venue-details.Cafe-le-Cirio.50000049,nominatim,matched
Le Falstaff,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"Created in 1903, its exuberant Art Nouveau interior was decorated by Émile Houbion, a collaborator of Victor Horta.",,,,https://www.admirable-artnouveau.brussels/en-facades/falstaff-tavern/,,no_match
Brasserie Greenwich,Historic Pub,Bourse / Saint-Géry / Dansaert,Belgium,"A listed Belle Époque tavern from the early 20th century, remembered as a chess haunt of surrealist René Magritte and Paul Nougé.",50.848931,4.347177,,https://www.visit.brussels/en/visitors/venue-details.Brasserie-Greenwich.280703,nominatim,matched
Halles Saint-Géry,Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,"Built in 1881 as an indoor market hall on the traditional birthplace of Brussels, it now hosts exhibitions, events and nightlife.",50.847966,4.347256,,https://www.visit.brussels/en/visitors/venue-details.Marche-Saint-Gery.50005458,nominatim,matched
L’Archiduc,Historic Bar,Bourse / Saint-Géry / Dansaert,Belgium,Opened in 1937 and turned into a jazz club by Stan Brenders in 1953; Miles Davis and Nat King Cole are among its legendary associations.,50.849067,4.347503,,https://www.visit.brussels/en/visitors/venue-details.L-Archiduc.9279,nominatim,matched
Anneessens Tower,Monument,Bourse / Saint-Géry / Dansaert,Belgium,"One of the best-preserved remnants of Brussels’ first defensive wall, built in the early 13th century around the medieval city.",50.842385,4.352918,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched
Villers Tower and First City Wall,Monument,Bourse / Saint-Géry / Dansaert,Belgium,"These surviving towers and wall fragments date from Brussels’ first fortifications, erected in the early 13th century.",,,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,,no_match
La Monnaie / De Munt,Historic Building,Bourse / Saint-Géry / Dansaert,Belgium,The present opera house opened in 1819; an 1830 performance of Auber’s La Muette de Portici helped ignite the Belgian Revolution.,50.850288,4.353953,,https://www.lamonnaiedemunt.be/en/static-pages/505-the-opera-house,nominatim,matched
Martyrs’ Square,Square,Bourse / Saint-Géry / Dansaert,Belgium,Laid out in 1774 by Claude Fisco; its crypt honours 466 people killed during the Belgian Revolution of 1830.,50.836508,4.324010,,https://www.visit.brussels/en/visitors/venue-details.Crypte-de-la-Place-des-Martyrs-Cimetiere-des-Combattants-1830.263122,nominatim,matched
Black Tower,Monument,Sainte-Catherine / Béguinage,Belgium,"This sturdy 13th-century tower is a rare survivor of Brussels’ first city wall, now dramatically enclosed by later urban development.",50.850799,4.349817,,https://www.visit.brussels/en/professionals/venue-details.Tour-Noire.252075,nominatim,matched
Saint Catherine Church,Church,Sainte-Catherine / Béguinage,Belgium,"Built from 1854 to 1874 on the former harbour basin, this striking church marks the transformation of Brussels’ old port district.",50.644521,5.577138,,https://www.visit.brussels/en/visitors/venue-details.Old-Port-fish-market.1613,nominatim,matched
Church of Saint John the Baptist at the Béguinage,Church,Sainte-Catherine / Béguinage,Belgium,"The present 17th-century Baroque church replaced an earlier Gothic church serving a beguinage that once contained more than 1,000 houses.",,,,https://www.visit.brussels/en/visitors/venue-details.The-Church-of-Saint-John-the-Baptist-at-the-Beguinage.275596,,no_match
Grand Hospice,Historic Building,Sainte-Catherine / Béguinage,Belgium,"Built in 1824-1827 to plans by Henri Partoes, this vast neoclassical hospice once cared for Brussels’ sick and elderly.",50.854071,4.350231,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-5,nominatim,matched
Maison de la Bellone,Historic Building,Sainte-Catherine / Béguinage,Belgium,"Its spectacular Baroque courtyard façade was carved in 1697 by Jean Cosyn, architect-sculptor also involved in rebuilding the Grand-Place.",,,,https://www.visit.brussels/en/visitors/what-to-do/hidden-treasures-in-the-streets-of-brussels,,no_match
In ’t Spinnekopke,Historic Pub,Sainte-Catherine / Béguinage,Belgium,"Set in an 18th-century house reputedly used as a stagecoach stop, this old estaminet specialises in Belgian beer and traditional dishes.",50.848382,4.343549,,https://www.visit.brussels/en/visitors/where-to-eat/beers-in-brussel-must-see-bars-and-restaurants,nominatim,matched
Grand Sablon,Square,Sablon / Marolles,Belgium,"A medieval sandy market space transformed into an aristocratic quarter, today framed by the 15th-century Sablon church and historic mansions.",50.840864,4.355063,,https://www.visit.brussels/en/visitors/plan-your-trip/the-sablon-and-marolles-districts-antiques-and-tradition,nominatim,matched
Petit Sablon,Square,Sablon / Marolles,Belgium,"Inaugurated in 1890, Henri Beyaert’s neo-Renaissance garden features statues of the Counts of Egmont and Hornes and 48 historic Brussels guilds.",50.839458,4.355617,,https://www.visit.brussels/en/professionals/venue-details.Plaza-del-Petit-Sablon.260227,nominatim,matched
Church of Our Lady of Victories at the Sablon,Church,Sablon / Marolles,Belgium,This magnificent 15th-century Gothic church grew from the crossbow guild’s chapel and is closely linked to Brussels’ historic Ommegang procession.,50.840342,4.356211,,https://www.visit.brussels/en/visitors/plan-your-trip/the-sablon-and-marolles-districts-antiques-and-tradition,wikipedia_search,matched
Egmont Palace,Palace,Sablon / Marolles,Belgium,"Built in stages from the 16th century for the Counts of Egmont and later the Arenberg family, it now hosts Belgian diplomatic receptions.",50.838829,4.356956,,https://www.visit.brussels/en/visitors/plan-your-trip/the-renaissance-in-brussels,nominatim,matched
Egmont Park,Historic Park,Sablon / Marolles,Belgium,"In the 16th century the park and palace belonged to Princess Françoise de Luxembourg, widow of Count Jean d’Egmont.",50.837702,4.356405,,https://www.visit.brussels/en/visitors/venue-details.Egmont-Park.260185,nominatim,matched
Palace of Justice,Historic Building,Sablon / Marolles,Belgium,Joseph Poelaert’s colossal courthouse was built from 1866 to 1883 under Leopold II and remains one of Brussels’ most imposing landmarks.,50.836658,4.351605,,https://www.visit.brussels/en/professionals/venue-details.Brussels-Palace-of-Justice.232780,nominatim,matched
Poelaert Square,Square,Sablon / Marolles,Belgium,"Created beside Joseph Poelaert’s 19th-century Palace of Justice, the square now offers one of the city’s broadest panoramic viewpoints.",,,,https://www.visit.brussels/en/visitors/what-to-do/the-best-views-in-brussels,,no_match
Place du Jeu de Balle,Square,Sablon / Marolles,Belgium,Brussels’ famous flea market has traded here since 1873; Hergé later immortalised it in Tintin’s The Secret of the Unicorn.,50.837004,4.345841,,https://www.visit.brussels/en/visitors/venue-details.Flea-market-on-the-Jeu-de-Balle-Square.270993,nominatim,matched
Church of Our Lady of the Chapel,Church,Sablon / Marolles,Belgium,"With origins in the 12th century, this Gothic church is where Pieter Bruegel the Elder married and was buried in 1569.",50.841667,4.351111,,https://www.visit.brussels/en/visitors/plan-your-trip/the-renaissance-in-brussels,wikipedia_search,matched
Church of Saints John and Stephen of the Minimes,Church,Sablon / Marolles,Belgium,Built for the Minim friars in the early 18th century; Renaissance anatomist Andreas Vesalius is traditionally associated with the neighbouring street.,,,,https://www.visit.brussels/en/visitors/plan-your-trip/historical-stroll-in-the-footsteps-of-charles-v-in-brussels,,no_match
Brigittines Chapel,Church,Sablon / Marolles,Belgium,This 1663 Baroque convent chapel now stands beside Andrea Bruno’s contemporary extension and serves as a distinctive performing-arts venue.,50.841161,4.348653,,https://www.visit.brussels/en/visitors/what-to-do/brussels-churches/reassignments,nominatim,matched
Halle Gate,Monument,Sablon / Marolles,Belgium,"A surviving 14th-century gate of Brussels’ second city wall, dramatically recast in neo-Gothic style by architect Henri Beyaert in the 19th century.",50.832810,4.343158,,https://www.visit.brussels/en/visitors/venue-details.Halle-Gate-RMAH.203657,nominatim,matched
Jewish Museum of Belgium,Museum,Sablon / Marolles,Belgium,"Established in 1990, the museum explores Jewish history, religion and culture in Belgium through objects, testimony and changing exhibitions.",50.840833,4.353333,,https://www.visit.brussels/en/visitors/venue-details.Jewish-Museum-of-Belgium.209899,wikipedia_search,matched
La Fleur en Papier Doré,Historic Pub,Sablon / Marolles,Belgium,"This listed 17th-century tavern became a favourite meeting place of René Magritte, Marcel Mariën, Louis Scutenaire and CoBrA artists.",50.842825,4.350779,,https://www.visit.brussels/en/visitors/plan-your-trip/a-legendary-stay-for-history-buffs/day-2-splendours-of-brussels,nominatim,matched
Royal Palace of Brussels,Palace,Royal Quarter / Mont des Arts,Belgium,The present palace began taking shape in the 1820s; Leopold II gave its monumental façade its current appearance in the early 1900s.,50.886298,4.359966,,https://www.visit.brussels/en/place/Palais-Royal,nominatim,matched
Place Royale,Square,Royal Quarter / Mont des Arts,Belgium,This harmonious late-18th-century neoclassical square replaced part of the ruined Coudenberg palace complex and centres on Godfrey of Bouillon’s 1848 statue.,50.842737,4.359886,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-3,nominatim,matched
Church of Saint James on Coudenberg,Church,Royal Quarter / Mont des Arts,Belgium,"Begun in 1776 as part of Place Royale’s neoclassical ensemble, this temple-like church dominates Brussels’ historic seat of royal power.",,,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/from-medieval-to-eclectic/etape-3,,no_match
Coudenberg Palace Archaeological Site,Archaeological Site,Royal Quarter / Mont des Arts,Belgium,"The buried remains reveal the palace where Charles V assumed power in 1515 and abdicated in 1555, before fire destroyed it in 1731.",,,,https://coudenberg.brussels/en/history/history-and-archaeology,,no_match
BELvue Museum,Museum,Royal Quarter / Mont des Arts,Belgium,"Housed in the former Hôtel Bellevue, built in 1776 beside the Royal Palace, this museum traces Belgium’s history and national identity.",50.842610,4.360689,,https://www.visit.brussels/en/visitors/venue-details.BELvue-museum.262801,nominatim,matched
Royal Museums of Fine Arts of Belgium,Museum,Royal Quarter / Mont des Arts,Belgium,"Founded in 1801, Belgium’s national fine-arts collection spans Bruegel, Rubens and later masters across six interconnected museums.",50.841680,4.358238,,https://www.visit.brussels/en/visitors/venue-details.488,nominatim,matched
Magritte Museum,Museum,Royal Quarter / Mont des Arts,Belgium,"Opened in 2009, it houses the world’s largest collection devoted to Belgian surrealist René Magritte, with around 230 works and archives.",50.842418,4.358796,,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,nominatim,matched
Musical Instruments Museum (Old England),Museum,Royal Quarter / Mont des Arts,Belgium,The museum’s collection dates to 1877; since 2000 it has filled Paul Saintenoy’s spectacular 1899 Old England Art Nouveau department store.,,,,https://www.visit.brussels/en/visitors/venue-details.Musical-Instruments-Museum-MIM.262853,,no_match
Palace of Charles of Lorraine,Palace,Royal Quarter / Mont des Arts,Belgium,"This elegant 18th-century residence belonged to Charles Alexander of Lorraine, popular governor of the Austrian Netherlands from 1744 to 1780.",50.842992,4.356971,,https://www.visit.brussels/en/visitors/venue-details.Palace-of-Charles-of-Lorraine.6884,nominatim,matched
Mont des Arts,Historic Site,Royal Quarter / Mont des Arts,Belgium,"First landscaped for the 1910 international exhibition and rebuilt in the 1950s, this cultural hill links medieval lower Brussels with the royal quarter.",50.844594,4.356856,,https://www.visit.brussels/en/visitors/what-to-do/must-see-attractions,nominatim,matched
Academy Palace,Palace,Royal Quarter / Mont des Arts,Belgium,"Built in 1823-1828 as a residence for the Prince of Orange, it has housed Belgium’s Royal Academies since 1876.",50.842049,4.364930,,https://www.visit.brussels/fr/visiteurs/venue-details.Palais-des-Academies.231834,nominatim,matched
Palace of the Nation,Historic Building,Royal Quarter / Mont des Arts,Belgium,"Built in 1783 by Barnabé Guimard for the Council of Brabant, this neoclassical palace became the home of Belgium’s parliament after independence.",50.846920,4.364856,,https://www.visit.brussels/en/visitors/venue-details.Federal-parliament-Palace-of-the-Nation.243743,nominatim,matched
Brussels Park,Historic Park,Royal Quarter / Mont des Arts,Belgium,"Laid out in the late 18th century on the former ducal hunting park, it became a battleground during the Belgian Revolution of 1830.",50.844595,4.363653,,https://www.visit.brussels/en/visitors/what-to-do/brussels-parks-and-forests,nominatim,matched
BOZAR / Centre for Fine Arts,Historic Building,Royal Quarter / Mont des Arts,Belgium,"Victor Horta designed this landmark arts centre between 1922 and 1929, adapting his modern architecture to a difficult sloping city-centre site.",,,,https://www.visit.brussels/en/visitors/what-to-do/art-deco-in-brussels-a-few-must-sees/cultural-temples,,no_match
Cathedral of St Michael and St Gudula,Cathedral,Cathedral / Freedom Quarter,Belgium,Construction began in 1226; its Brabant Gothic interior includes major 16th-century stained glass associated with Charles V and the Habsburg court.,50.847843,4.360061,,https://www.visit.brussels/en/professionals/venue-details.Cathedrale-Saints-Michel-et-Gudule.478,nominatim,matched
Church of Our Lady of Finistere,Church,Cathedral / Freedom Quarter,Belgium,The present Baroque church dates from 1730 and contains a dramatic black carved pulpit of 1758 depicting the Fall of Man.,50.853056,4.355556,,https://www.visit.brussels/en/visitors/what-to-do/brussels-churches/hidden-gems,wikipedia_search,matched
Congress Column,Monument,Cathedral / Freedom Quarter,Belgium,"Erected in 1850-1859 to Joseph Poelaert’s design, the column honours Belgium’s 1831 constitution and is crowned by a statue of Leopold I.",50.850000,4.363333,,https://www.visit.brussels/en/visitors/what-to-do/the-best-views-in-brussels,wikipedia_search,matched
Cinquantenaire Park,Historic Park,European Quarter / Cinquantenaire,Belgium,"Created in 1880 for the 50th anniversary of Belgian independence, the park became Leopold II’s grand showcase of national ambition.",50.841037,4.393492,,https://www.visit.brussels/en/visitors/plan-your-trip/the-european-quarter-brussels-cosmopolitan-and-cultural-district/lifestyle-en-chill,nominatim,matched
Cinquantenaire Arch,Monument,European Quarter / Cinquantenaire,Belgium,"Completed in 1905 under Leopold II, Charles Girault’s monumental triumphal arch crowned the grand Cinquantenaire ensemble begun for Belgium’s 1880 jubilee.",50.840278,4.392778,,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,wikipedia_search,matched
Art & History Museum,Museum,European Quarter / Cinquantenaire,Belgium,Belgium’s national antiquities collections trace their roots to 1835; the Cinquantenaire museum ranges from prehistory and Egypt to medieval tapestries.,50.839346,4.392077,,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,nominatim,matched
Royal Museum of the Armed Forces and Military History,Museum,European Quarter / Cinquantenaire,Belgium,"Founded in 1910 and moved to the Cinquantenaire in 1923, it displays armour, aircraft and military history from medieval times onward.",50.841444,4.394060,,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,nominatim,matched
Autoworld,Museum,European Quarter / Cinquantenaire,Belgium,"Opened in 1986 inside a former 1880 exhibition hall, Autoworld showcases a major collection charting automotive design from the pioneering era onward.",50.839457,4.393554,,https://www.visit.brussels/en/visitors/plan-your-trip/brussels-museum-mile,nominatim,matched
Leopold Park,Historic Park,European Quarter / Cinquantenaire,Belgium,"Created as a zoological garden in the 19th century, it later became a scientific campus and now forms a green heart of the European Quarter.",50.839988,4.380188,,https://www.visit.brussels/en/visitors/venue-details.Leopold-Park.261881,nominatim,matched
Solvay Library,Historic Building,European Quarter / Cinquantenaire,Belgium,"Built in 1902 as part of industrialist Ernest Solvay’s ambitious scientific campus, this richly decorated library remains a jewel of Leopold Park.",,,,https://www.visit.brussels/en/visitors/venue-details.Edificio-Solvay-Library.225074,,no_match
Wiertz Museum,Museum,European Quarter / Cinquantenaire,Belgium,Romantic painter Antoine Wiertz had this monumental studio built in 1850; after his death it became one of Belgium’s earliest artist museums.,50.837185,4.375694,,https://www.visit.brussels/en/visitors/venue-details.Museo-Wiertz-Museum.492,nominatim,matched
House of European History (Eastman Building),Museum,European Quarter / Cinquantenaire,Belgium,"The museum occupies Michel Polak’s 1930s Eastman Dental Institute, funded by Kodak founder George Eastman and repurposed for European history.",,,,https://www.visit.brussels/en/visitors/what-to-do/architecture-art-deco-brussels,,no_match
Hôtel van Eetvelde,Historic Building,European Quarter / Cinquantenaire,Belgium,Victor Horta designed this revolutionary Art Nouveau townhouse from 1895 for diplomat Edmond van Eetvelde; it is now UNESCO-listed.,50.847259,4.380540,,https://www.visit.brussels/en/visitors/what-to-do/unesco-heritage-in-brussels/world-heritage-list,nominatim,matched
Maison Saint-Cyr,Historic Building,European Quarter / Cinquantenaire,Belgium,"Built in 1901-1903 by Gustave Strauven for painter Georges de Saint-Cyr, its four-metre-wide façade is an exuberant Art Nouveau landmark.",50.847858,4.383924,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/art-nouveau-and-art-deco/etape-2,nominatim,matched
Horta Museum,Museum,Saint-Gilles,Belgium,Victor Horta built his own home and studio here in 1898-1901; the UNESCO-listed interior is one of the purest Art Nouveau experiences in Brussels.,50.824099,4.355380,,https://www.visit.brussels/en/visitors/venue-details.Horta-Museum.241873,nominatim,matched
Saint-Gilles Town Hall,Historic Building,Saint-Gilles,Belgium,"Built in 1900-1904 by Albert Dumont, this neo-Renaissance town hall contains decoration by leading Belgian Symbolists including Fernand Khnopff.",50.824538,4.346219,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/art-nouveau-and-art-deco/etape-2,nominatim,matched
Brasserie Verschueren,Historic Pub,Saint-Gilles,Belgium,"Founded in 1880 by Louis-François Verschueren, this classic neighbourhood café preserves old signage and generations of Saint-Gilles social history.",50.830206,4.344268,,https://verschu.be/histoire/,nominatim,matched
Hôtel Solvay,Historic Building,Ixelles,Belgium,"Victor Horta designed this lavish UNESCO-listed townhouse for industrialist Armand Solvay between 1894 and 1903, with interiors conceived as a total work of art.",50.826370,4.365464,,https://www.visit.brussels/en/visitors/what-to-do/unesco-heritage-in-brussels/world-heritage-list,nominatim,matched
Hôtel Tassel,Historic Building,Ixelles,Belgium,"Designed by Victor Horta for scientist Émile Tassel in 1893, this UNESCO-listed house is widely considered a foundational masterpiece of Art Nouveau.",50.827783,4.361983,,https://www.visit.brussels/en/visitors/venue-details.Tassel-House.242038,nominatim,matched
Maison Ciamberlani,Historic Building,Ixelles,Belgium,"Paul Hankar designed this dramatic 1897 townhouse for Symbolist painter Albert Ciamberlani, with an extraordinary façade dominated by sweeping sgraffito decoration.",,,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-in-ixelles-a-church-and-other-prestigious-buildings,,no_match
Maison Hankar,Historic Building,Ixelles,Belgium,"Architect Paul Hankar built this as his own house in 1893, making it one of Brussels’ earliest and most personal Art Nouveau statements.",50.827283,4.357777,,https://www.visit.brussels/en/visitors/what-to-do/10-must-visit-art-nouveau-houses-and-mansions-in-brussels,nominatim,matched
Flagey Building,Historic Building,Ixelles,Belgium,Joseph Diongre built this streamlined Art Deco broadcasting headquarters in 1935-1938; its ship-like form earned it the nickname ‘the Packet Boat’.,50.826946,4.373074,,https://www.visit.brussels/en/visitors/what-to-do/architecture-art-deco-brussels,nominatim,matched
La Cambre Abbey,Abbey,Ixelles,Belgium,"Founded around 1201 for Cistercian nuns, this former abbey was rebuilt in the 17th and 18th centuries and retains tranquil historic gardens.",50.818533,4.374399,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-in-ixelles-a-church-and-other-prestigious-buildings,nominatim,matched
Saint Boniface Church,Church,Ixelles,Belgium,"Built in 1846-1849 by Joseph Jonas Dumont, this pioneering neo-Gothic church helped define the later Saint-Boniface neighbourhood of Ixelles.",50.835400,4.365678,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-in-ixelles-a-church-and-other-prestigious-buildings,nominatim,matched
Villa Empain / Boghossian Foundation,Historic Building,Ixelles,Belgium,Michel Polak designed this luxurious Art Deco villa in 1930 for 21-year-old Baron Louis Empain; today it hosts the Boghossian Foundation.,,,,https://www.visit.brussels/en/visitors/what-to-do/art-deco-in-brussels-a-few-must-sees,,no_match
Autrique House,Museum,Schaerbeek,Belgium,"Built in 1893 for engineer Eugène Autrique, this was Victor Horta’s first major townhouse and an important step toward mature Art Nouveau.",50.863250,4.373158,,https://www.visit.brussels/en/professionals/venue-details.Autrique-House.241931,nominatim,matched
Schaerbeek Town Hall,Historic Building,Schaerbeek,Belgium,"Jules-Jacques van Ysendyck’s Flemish neo-Renaissance town hall opened in 1887; after a 1911 arson attack, his son Maurice rebuilt it.",50.867602,4.373665,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-in-schaerbeek,nominatim,matched
Maison des Arts de Schaerbeek,Historic Building,Schaerbeek,Belgium,"Built in 1826 for the Eenens family, this former private mansion became Schaerbeek’s Maison des Arts after the commune acquired it in 1950.",50.859637,4.370053,,https://www.1030.be/fr/nieuws/la-maison-des-arts-200-ans-dhistoire-et-culture,nominatim,matched
Schaerbeek Station / Train World,Museum,Schaerbeek,Belgium,The historic station complex developed from the late 19th century; since 2015 it has formed the atmospheric gateway to Belgium’s Train World museum.,,,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-in-schaerbeek,,no_match
Atomium,Monument,Laeken / Heysel,Belgium,"Created for Expo 58 by engineer André Waterkeyn and architects André and Jean Polak, it represents an iron crystal enlarged 165 billion times.",50.894921,4.341377,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-3/etape-1,nominatim,matched
Royal Greenhouses of Laeken,Historic Building,Laeken / Heysel,Belgium,Alphonse Balat designed the first greenhouse in 1873 for Leopold II; the vast glass-and-iron complex was developed between 1874 and 1905.,50.888333,4.360278,,https://www.visit.brussels/en/visitors/venue-details.Royal-Greenhouses-Laeken.235530,wikipedia_search,matched
Church of Our Lady of Laeken,Church,Laeken / Heysel,Belgium,"Commissioned by Leopold I after Queen Louise-Marie’s death in 1850, Joseph Poelaert’s neo-Gothic church was completed under Leopold II in 1909.",50.878901,4.355606,,https://www.visit.brussels/en/visitors/what-to-do/brussels-churches/the-must-sees,nominatim,matched
Laeken Cemetery,Historic Site,Laeken / Heysel,Belgium,"Developed beside the royal church in the 19th century, Brussels’ grand cemetery contains monuments to architect Joseph Poelaert, Alphonse Balat and singer Maria Malibran.",50.879617,4.353170,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-3/etape-1,nominatim,matched
Erasmus House,Museum,Anderlecht,Belgium,Humanist Desiderius Erasmus stayed in this early-16th-century house in 1521 while working on his influential edition of the New Testament.,50.836535,4.308209,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-a-anderlecht,nominatim,matched
Anderlecht Beguinage,Historic Site,Anderlecht,Belgium,"Founded in 1252, this tiny beguinage survives as two historic wings around an enclosed garden and is among Belgium’s smallest.",50.837026,4.306170,,https://www.visit.brussels/en/like-a-local/culture/museum-pass/brussels-museums,nominatim,matched
Collegiate Church of Saints Peter and Guidon,Church,Anderlecht,Belgium,Its Romanesque origins reach the late 11th century; the later Gothic church grew around the cult and pilgrimage of local Saint Guidon.,,,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks/architecture-a-anderlecht,,no_match
